bom_id,proposal_id,product_id,product_name,quantity,unit_price_inr_lakh,total_price_inr_lakh,lead_time_weeks,supply_type,margin_pct
BOM-00237,PRP-2026-0045,TP-SR-005,Spare Parts Contract,2,46.04,92.08,30,Third-party,23.4
BOM-00238,PRP-2026-0045,TP-PW-003,Back Pressure Steam Turbine,2,3010.68,6021.36,29,In-house,18.3
BOM-00239,PRP-2026-0045,TP-WT-005,MEE Evaporator System,2,361.87,723.73,14,OEM,24.8
BOM-00240,PRP-2026-0045,TP-AP-001,Electrostatic Precipitator,3,452.61,1357.83,31,OEM,21.6
BOM-00241,PRP-2026-0046,TP-AP-004,Selective Catalytic Reduction,3,752.34,2257.01,13,In-house,22.2
BOM-00242,PRP-2026-0046,TP-AP-004,Selective Catalytic Reduction,4,883.01,3532.03,12,OEM,17.7
BOM-00243,PRP-2026-0046,TP-AP-005,Scrubber System,2,175.62,351.23,26,OEM,24.9
BOM-00244,PRP-2026-0046,TP-SR-003,Performance Enhancement Retrofit,2,231.5,463.0,21,In-house,14.5
BOM-00245,PRP-2026-0046,TP-AP-003,Flue Gas Desulphurisation,1,2048.28,2048.28,25,In-house,26.3
BOM-00246,PRP-2026-0046,TP-SR-003,Performance Enhancement Retrofit,1,232.46,232.46,10,Third-party,30.4
BOM-00247,PRP-2026-0046,TP-AP-005,Scrubber System,2,183.26,366.52,15,Third-party,14.2
BOM-00248,PRP-2026-0047,TP-AP-002,Bag Filter System,4,221.43,885.72,11,OEM,23.5
BOM-00249,PRP-2026-0047,TP-CT-002,Crossflow Cooling Tower,4,83.47,333.89,19,OEM,29.6
BOM-00250,PRP-2026-0047,TP-AP-005,Scrubber System,1,184.63,184.63,13,Third-party,31.0
BOM-00251,PRP-2026-0047,TP-SR-001,Annual Maintenance Contract Basic,2,81.05,162.1,31,OEM,23.9
BOM-00252,PRP-2026-0047,TP-SR-002,Annual Maintenance Contract Premium,4,169.57,678.28,16,In-house,26.4
BOM-00253,PRP-2026-0047,TP-WT-002,Reverse Osmosis Plant,2,111.6,223.2,26,Third-party,15.0
BOM-00254,PRP-2026-0048,TP-PW-004,Extraction Condensing Turbine,2,8217.02,16434.05,21,In-house,17.3
BOM-00255,PRP-2026-0048,TP-PW-003,Back Pressure Steam Turbine,4,2851.91,11407.62,16,In-house,23.4
BOM-00256,PRP-2026-0048,TP-AP-002,Bag Filter System,3,202.93,608.8,10,Third-party,21.3
BOM-00257,PRP-2026-0048,TP-PW-001,Captive Power Plant 25 MW,1,11964.63,11964.63,10,OEM,31.0
BOM-00258,PRP-2026-0048,TP-WT-003,Zero Liquid Discharge System,1,1269.29,1269.29,17,OEM,30.7
BOM-00259,PRP-2026-0048,TP-SB-001,Shellmax Oil and Gas Boiler,4,194.83,779.3,31,OEM,22.6
BOM-00260,PRP-2026-0048,TP-CP-001,Process Chemicals Package,1,34.01,34.01,27,OEM,30.4
BOM-00261,PRP-2026-0048,TP-SB-001,Shellmax Oil and Gas Boiler,4,196.24,784.98,31,Third-party,18.4
BOM-00262,PRP-2026-0049,TP-CP-002,Cooling Tower Chemicals Package,1,28.9,28.9,13,OEM,30.3
BOM-00263,PRP-2026-0049,TP-WT-004,MBR Sewage Treatment Plant,1,211.23,211.23,12,OEM,20.4
BOM-00264,PRP-2026-0049,TP-SB-004,EPC Boiler 100 TPH,4,2796.23,11184.91,13,Third-party,31.5
BOM-00265,PRP-2026-0049,TP-PW-002,Captive Power Plant 50 MW,2,26938.19,53876.38,32,In-house,19.2
BOM-00266,PRP-2026-0049,TP-RN-002,Solar Thermal System,3,632.01,1896.03,8,OEM,21.1
BOM-00267,PRP-2026-0049,TP-CT-002,Crossflow Cooling Tower,1,107.41,107.41,27,In-house,15.0
BOM-00268,PRP-2026-0049,TP-SB-001,Shellmax Oil and Gas Boiler,4,175.48,701.94,19,In-house,14.1
BOM-00269,PRP-2026-0049,TP-WT-004,MBR Sewage Treatment Plant,4,210.4,841.6,11,In-house,22.9
BOM-00270,PRP-2026-0050,TP-CP-002,Cooling Tower Chemicals Package,2,27.25,54.5,23,In-house,16.8
BOM-00271,PRP-2026-0050,TP-AP-004,Selective Catalytic Reduction,2,773.14,1546.29,19,Third-party,20.6
BOM-00272,PRP-2026-0050,TP-WT-004,MBR Sewage Treatment Plant,3,194.17,582.52,22,In-house,16.9
BOM-00273,PRP-2026-0051,TP-SR-004,Digital Monitoring Platform,1,119.72,119.72,30,OEM,16.0
BOM-00274,PRP-2026-0051,TP-CT-001,Counterflow Cooling Tower,1,102.36,102.36,21,Third-party,30.2
BOM-00275,PRP-2026-0051,TP-WT-003,Zero Liquid Discharge System,2,1645.04,3290.09,29,Third-party,16.1
BOM-00276,PRP-2026-0051,TP-RN-003,Green Hydrogen Electrolyser,4,2615.87,10463.48,30,OEM,19.8
BOM-00277,PRP-2026-0051,TP-SR-002,Annual Maintenance Contract Premium,4,146.76,587.02,11,In-house,16.3
BOM-00278,PRP-2026-0052,TP-CP-001,Process Chemicals Package,1,37.81,37.81,15,In-house,26.2
BOM-00279,PRP-2026-0052,TP-PW-002,Captive Power Plant 50 MW,4,28001.82,112007.29,31,In-house,21.8
BOM-00280,PRP-2026-0052,TP-CT-001,Counterflow Cooling Tower,3,114.51,343.54,32,In-house,18.5
BOM-00281,PRP-2026-0052,TP-WT-002,Reverse Osmosis Plant,2,115.61,231.21,32,In-house,29.6
BOM-00282,PRP-2026-0052,TP-AP-003,Flue Gas Desulphurisation,4,2000.95,8003.81,30,In-house,26.6
BOM-00283,PRP-2026-0053,TP-WT-004,MBR Sewage Treatment Plant,2,252.51,505.02,26,OEM,18.1
BOM-00284,PRP-2026-0053,TP-WT-001,Demineralisation Plant,4,124.92,499.68,14,OEM,21.7
BOM-00285,PRP-2026-0053,TP-WT-005,MEE Evaporator System,1,427.08,427.08,20,In-house,23.4
BOM-00286,PRP-2026-0053,TP-AP-002,Bag Filter System,2,185.42,370.83,23,In-house,23.2
BOM-00287,PRP-2026-0053,TP-SB-004,EPC Boiler 100 TPH,3,2472.45,7417.34,19,Third-party,31.0
BOM-00288,PRP-2026-0053,TP-SR-003,Performance Enhancement Retrofit,2,231.76,463.52,9,OEM,14.7
BOM-00289,PRP-2026-0053,TP-SB-004,EPC Boiler 100 TPH,3,2558.06,7674.18,23,Third-party,30.4
BOM-00290,PRP-2026-0054,TP-SR-004,Digital Monitoring Platform,2,115.71,231.42,23,Third-party,20.0
BOM-00291,PRP-2026-0054,TP-CH-003,Triple Effect Absorption Chiller,1,504.33,504.33,29,OEM,27.9
BOM-00292,PRP-2026-0054,TP-WT-001,Demineralisation Plant,3,138.93,416.8,19,OEM,23.5
BOM-00293,PRP-2026-0055,TP-AP-003,Flue Gas Desulphurisation,3,2008.62,6025.87,20,In-house,30.0
BOM-00294,PRP-2026-0055,TP-WT-001,Demineralisation Plant,1,125.04,125.04,28,OEM,17.5
BOM-00295,PRP-2026-0055,TP-SR-005,Spare Parts Contract,1,39.26,39.26,25,OEM,20.2
BOM-00296,PRP-2026-0055,TP-RN-002,Solar Thermal System,2,686.85,1373.69,12,In-house,16.3
BOM-00297,PRP-2026-0055,TP-SR-003,Performance Enhancement Retrofit,3,273.78,821.34,32,OEM,31.6
