telemetry_id,project_id,timestamp,boiler_efficiency_pct,steam_output_tph,fuel_consumption_kg_hr,nox_emission_mg_nm3,so2_emission_mg_nm3,uptime_pct,anomaly_detected
TEL-000244,PRJ-2026-0017,2026-04-17 05:00,85.07,7.78,1293.0,176.9,184.2,96.29,Yes
TEL-000245,PRJ-2026-0017,2026-04-16 10:00,86.47,8.3,1789.0,121.5,215.2,99.29,No
TEL-000246,PRJ-2026-0017,2026-04-15 04:00,84.74,8.52,1491.0,144.1,247.5,98.23,Yes
TEL-000247,PRJ-2026-0017,2026-04-14 19:00,87.16,8.65,1513.0,107.1,184.1,99.59,No
TEL-000248,PRJ-2026-0017,2026-04-13 16:00,87.79,11.77,1609.0,122.9,181.3,99.41,No
TEL-000249,PRJ-2026-0017,2026-04-12 20:00,89.61,9.63,1492.0,157.8,124.2,98.17,No
TEL-000250,PRJ-2026-0017,2026-04-11 19:00,89.28,12.01,1405.0,98.1,129.8,96.63,No
TEL-000251,PRJ-2026-0017,2026-04-10 21:00,84.5,10.96,1759.0,118.7,170.8,97.03,Yes
TEL-000252,PRJ-2026-0017,2026-04-09 01:00,90.18,10.7,1395.0,148.3,127.9,99.24,No
TEL-000253,PRJ-2026-0017,2026-04-08 09:00,91.34,8.2,1503.0,177.5,179.9,98.82,No
TEL-000254,PRJ-2026-0017,2026-04-07 20:00,85.23,7.97,1554.0,152.3,160.7,99.03,Yes
TEL-000255,PRJ-2026-0017,2026-04-06 14:00,89.6,8.05,1317.0,173.1,121.2,98.93,No
TEL-000256,PRJ-2026-0018,2026-04-20 09:00,87.94,10.67,1739.0,103.8,153.4,96.89,No
TEL-000257,PRJ-2026-0018,2026-04-19 19:00,88.71,9.65,1262.0,167.9,270.8,96.63,Yes
TEL-000258,PRJ-2026-0018,2026-04-18 10:00,89.73,12.3,1379.0,168.9,173.4,97.91,No
TEL-000259,PRJ-2026-0018,2026-04-17 13:00,89.88,11.65,1552.0,177.4,171.3,97.66,No
TEL-000260,PRJ-2026-0018,2026-04-16 09:00,85.08,11.44,1212.0,133.3,183.7,96.48,Yes
TEL-000261,PRJ-2026-0018,2026-04-15 06:00,90.23,12.12,1760.0,145.6,171.0,97.42,No
TEL-000262,PRJ-2026-0018,2026-04-14 06:00,87.13,8.36,1765.0,85.8,137.0,96.7,No
TEL-000263,PRJ-2026-0018,2026-04-13 01:00,90.37,9.53,1692.0,178.9,191.6,98.1,Yes
TEL-000264,PRJ-2026-0018,2026-04-12 18:00,88.71,8.4,1208.0,165.9,147.1,96.62,No
TEL-000265,PRJ-2026-0018,2026-04-11 16:00,84.7,10.35,1314.0,86.1,122.2,98.67,Yes
TEL-000266,PRJ-2026-0018,2026-04-10 11:00,87.16,9.72,1287.0,122.9,162.0,99.16,No
TEL-000267,PRJ-2026-0018,2026-04-09 14:00,90.62,10.4,1480.0,102.6,196.4,97.08,No
TEL-000268,PRJ-2026-0018,2026-04-08 23:00,84.15,8.66,1249.0,155.0,133.5,96.83,Yes
TEL-000269,PRJ-2026-0018,2026-04-07 13:00,90.1,8.39,1304.0,164.5,135.0,99.61,No
TEL-000270,PRJ-2026-0018,2026-04-06 17:00,87.06,7.73,1827.0,173.5,143.0,97.85,No
TEL-000271,PRJ-2026-0019,2026-04-20 23:00,86.56,8.05,1645.0,124.7,254.5,97.8,No
TEL-000272,PRJ-2026-0019,2026-04-19 11:00,90.96,8.59,1542.0,174.2,121.7,98.18,No
TEL-000273,PRJ-2026-0019,2026-04-18 17:00,87.7,9.62,1489.0,125.4,143.5,96.85,No
TEL-000274,PRJ-2026-0019,2026-04-17 21:00,85.64,11.84,1329.0,124.0,122.0,99.56,Yes
TEL-000275,PRJ-2026-0019,2026-04-16 05:00,86.07,12.32,1395.0,174.2,234.5,97.48,No
TEL-000276,PRJ-2026-0019,2026-04-15 16:00,91.2,12.08,1328.0,102.0,195.2,99.4,No
TEL-000277,PRJ-2026-0019,2026-04-14 08:00,86.9,11.97,1689.0,125.1,230.8,99.0,Yes
TEL-000278,PRJ-2026-0019,2026-04-13 05:00,86.34,7.73,1380.0,125.7,131.1,97.25,No
TEL-000279,PRJ-2026-0019,2026-04-12 14:00,84.8,10.25,1213.0,93.2,255.4,98.35,Yes
TEL-000280,PRJ-2026-0019,2026-04-11 06:00,85.51,9.0,1319.0,168.8,165.9,96.83,Yes
TEL-000281,PRJ-2026-0019,2026-04-10 15:00,86.13,11.34,1309.0,110.5,188.5,97.27,No
TEL-000282,PRJ-2026-0019,2026-04-09 18:00,88.01,8.78,1571.0,179.8,146.5,99.32,No
TEL-000283,PRJ-2026-0019,2026-04-08 07:00,86.96,11.71,1289.0,138.1,126.6,98.62,No
TEL-000284,PRJ-2026-0019,2026-04-07 19:00,85.58,9.67,1659.0,91.0,121.9,99.64,Yes
TEL-000285,PRJ-2026-0019,2026-04-06 05:00,86.71,9.19,1776.0,130.8,271.0,96.66,No
TEL-000286,PRJ-2026-0020,2026-04-20 12:00,89.81,11.4,1592.0,164.3,125.2,98.97,No
TEL-000287,PRJ-2026-0020,2026-04-19 09:00,88.27,9.64,1398.0,165.4,221.6,98.8,No
TEL-000288,PRJ-2026-0020,2026-04-18 15:00,85.78,10.03,1789.0,109.9,154.0,96.19,Yes
TEL-000289,PRJ-2026-0020,2026-04-17 01:00,87.0,9.76,1624.0,166.3,260.6,96.97,No
TEL-000290,PRJ-2026-0020,2026-04-16 11:00,90.79,11.88,1691.0,123.4,267.9,99.43,No
TEL-000291,PRJ-2026-0020,2026-04-15 22:00,86.94,10.97,1538.0,162.6,239.4,98.17,No
TEL-000292,PRJ-2026-0020,2026-04-14 23:00,85.19,9.88,1652.0,139.8,137.6,98.95,Yes
TEL-000293,PRJ-2026-0020,2026-04-13 15:00,86.68,10.75,1744.0,121.6,166.4,96.9,No
TEL-000294,PRJ-2026-0020,2026-04-12 11:00,90.02,9.19,1224.0,152.1,191.1,99.48,No
TEL-000295,PRJ-2026-0020,2026-04-11 06:00,88.07,9.48,1619.0,148.3,123.6,97.54,No
TEL-000296,PRJ-2026-0020,2026-04-10 02:00,90.33,10.24,1288.0,154.8,187.3,99.37,Yes
TEL-000297,PRJ-2026-0020,2026-04-09 09:00,91.29,11.38,1599.0,158.3,192.3,98.46,No
TEL-000298,PRJ-2026-0020,2026-04-08 11:00,86.63,9.15,1589.0,163.5,182.0,98.86,No
TEL-000299,PRJ-2026-0020,2026-04-07 06:00,87.32,11.57,1653.0,150.9,259.0,97.91,No
TEL-000300,PRJ-2026-0020,2026-04-06 09:00,91.9,11.72,1719.0,145.6,255.7,99.21,No
